,x2,x3,x6,x7,x8,x10,x11,x12,x13,x14,x16,x17,x1_type2,x1_type3,x1_type4,target
13,3475,200,-4.450502706987251,15.0,23.0,6.253275832928245,40.25378226075866,1.1871969264306732,23.0,1.3663672637774926,114.0,1087.0,False,True,False,0
14,4969,200,2.121342899134424,6.0,115.0,1.0,-0.8429830743257014,0.6325823286107607,56.0,3.168903004250577,152.3,12.0,False,True,False,0
15,1830,550,2.744156455091664,9.0,2.0,0.08267362669237066,-0.7104449119704199,-0.3475668115804491,5.0,1.6989380327609311,54.4,441.0,True,False,False,0
16,5694,200,1.0,181.0,40.0,0.7094646253276036,1.2758584224018055,2.0732284495468543,66.0,-1.1380101628294552,44.4,522.0,True,False,False,0
17,3793,1485,1.0,8.0,150.0,1.0,-10.353348473621594,0.6168925621730633,64.0,2.6250949757583584,133.8,11.0,False,True,False,0
18,1000,200,1.0,4.0,70.0,1.0,9.99972378710369,0.6567515758022016,56.0,2.7884708845369195,170.2,125.0,False,True,False,1
19,1539,200,-2.798425347791344,367.0,24.0,3.1167509974877907,4.0,2.113859830648416,8.0,-3.974495199541991,71.6,1186.0,False,False,True,0
20,2080,200,4.424384823576647,2.0,6.0,-0.12854761009562488,197.0,0.5518812982517576,10.0,-3.9119589188900763,111.5,1003.0,False,False,False,0
21,2896,200,2.0,10.0,134.0,2.0,0.8565495509130585,0.8468297708990657,139.0,3.434912752292562,153.5,48.0,False,True,False,0
22,6655,200,0.9020106061991005,1.0,25.0,0.38571673142801455,2.0,0.336679600738993,52.0,2.5680716729497237,136.7,44.0,False,True,False,0
23,2064,1264,1.0,6.0,23.0,1.0,4.0,0.42556052478496176,17.0,2.228268985635649,147.6,71.0,False,True,False,0
24,1991,200,2.0,2.0,12.0,1.0,214.0,0.671522655413192,17.0,-4.508585409962638,109.2,1250.0,False,False,False,1
